group	group_name	feed_product_type	feed_product_type_name
AutoAccessory		autoaccessorymisc	カー用品・アクセサリ・バイクアパレル用品・ヘルメット
AutoAccessory		autopart	カーパーツ
AutoAccessory		powersportspart	バイクパーツ
Beauty		beautymisc	美容商品
BookLoader		bookloader	書籍
CameraAndPhoto		digitalcamera	デジタルカメラ本体
CameraAndPhoto		filmcamera	フィルムカメラ本体・フィルム
CameraAndPhoto		camcorder	ビデオカメラ本体
CameraAndPhoto		cameralenses	カメラレンズ
CameraAndPhoto		camerabagsandcases	カメラ用バッグ/ケース
CameraAndPhoto		cameraotheraccessories	カメラ用のその他アクセサリ
CameraAndPhoto		telescope	望遠鏡・関連アクセサリー
CameraAndPhoto		binocular	双眼鏡・関連アクセサリー
Clothing		sleepwear	パジャマ
Clothing		sockshosiery	靴下
Clothing		kimono	着物
Clothing		hat	防止
Clothing		shoes	靴下
Clothing		blazer	ブレザー
Clothing		dress	ドレス
Clothing		chanchanko	ちゃんちゃんこ
Clothing		underwear	下着
Clothing		shirt	シャツ
Clothing		bag	カバン
Clothing		bra	ブラジャー
Clothing		swimwear	水着
Clothing		outerwear	アウター
Clothing		skirt	スカート
Clothing		shorts	ショーツ
Clothing		jinbei	甚平
Clothing		obi	帯
Clothing		sweater	セーター
Clothing		yukata	浴衣
Clothing		accessory	アクセサリー
Clothing		pants	パンツ
Clothing		suit	スーツ
